Element Name,Superfamily/Family,Host Species,Clade,Cluster/Genus,Branch/Class,Notes
TgGIN1 mRNA,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
TgGIN2 mRNA,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
TsGINGER2,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
TtKRBA2,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
TtSCAND3,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
XlGIN2 mRNA,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
XmCIN1,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
XtCIN1,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
XtGIN2,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
ZrFOB1,,,,&#160;,&#160;,No family data on GyDB page (stub entry)
